,class
ENSDART00000138379,1
ENSDART00000075994,1
ENSDART00000153938,1
ENSDART00000152541,1
ENSDART00000139170,1
ENSDART00000155306,1
ENSDART00000133466,1
ENSDART00000155270,1
ENSDART00000139035,1
ENSDART00000153123,1
ENSDART00000154177,1
ENSDART00000156729,1
ENSDART00000129404,1
ENSDART00000112675,1
ENSDART00000140899,1
ENSDART00000157158,1
ENSDART00000153520,1
ENSDART00000157280,1
ENSDART00000007434,1
ENSDART00000115007,1
ENSDART00000152995,1
ENSDART00000156340,1
ENSDART00000156371,1
ENSDART00000143268,1
ENSDART00000153160,1
ENSDART00000121873,1
ENSDART00000155205,1
ENSDART00000155562,1
ENSDART00000060700,1
ENSDART00000156241,1
ENSDART00000154536,1
ENSDART00000140017,1
ENSDART00000154321,1
ENSDART00000149951,1
ENSDART00000098268,1
ENSDART00000109218,1
ENSDART00000139443,1
ENSDART00000137209,1
ENSDART00000081022,1
ENSDART00000125360,1
ENSDART00000155856,1
ENSDART00000155813,1
ENSDART00000059613,1
ENSDART00000153858,1
ENSDART00000154864,1
ENSDART00000150088,1
ENSDART00000111445,1
ENSDART00000155185,1
ENSDART00000154846,1
ENSDART00000133553,1
ENSDART00000136565,1
ENSDART00000154194,1
ENSDART00000101288,1
ENSDART00000152138,1
ENSDART00000145374,1
ENSDART00000154112,1
ENSDART00000150683,1
ENSDART00000039465,1
ENSDART00000156909,1
ENSDART00000155283,1
ENSDART00000157234,1
ENSDART00000126161,1
ENSDART00000104917,1
ENSDART00000152506,1
ENSDART00000109627,1
ENSDART00000154208,1
ENSDART00000156345,1
ENSDART00000156061,1
ENSDART00000153565,1
ENSDART00000132886,1
ENSDART00000106235,1
ENSDART00000134001,1
ENSDART00000088322,1
ENSDART00000028606,1
ENSDART00000154771,1
ENSDART00000106033,1
ENSDART00000139940,1
ENSDART00000078235,1
ENSDART00000108663,1
ENSDART00000022579,1
ENSDART00000132404,1
ENSDART00000115036,1
ENSDART00000124285,1
ENSDART00000110610,1
ENSDART00000078033,1
ENSDART00000148644,1
ENSDART00000157218,1
ENSDART00000131778,1
ENSDART00000123039,1
ENSDART00000134400,1
ENSDART00000154092,1
ENSDART00000111792,1
ENSDART00000133600,1
ENSDART00000125519,1
ENSDART00000146652,1
ENSDART00000149016,1
ENSDART00000148891,1
ENSDART00000039235,1
ENSDART00000134388,1
ENSDART00000127758,1
ENSDART00000111539,1
ENSDART00000111903,1
ENSDART00000132594,1
ENSDART00000097680,1
ENSDART00000149442,1
ENSDART00000110785,1
ENSDART00000128177,1
ENSDART00000122843,1
ENSDART00000143119,1
ENSDART00000139559,1
ENSDART00000135684,1
ENSDART00000127982,1
ENSDART00000137712,1
ENSDART00000135317,1
ENSDART00000129534,1
ENSDART00000091876,1
ENSDART00000144738,1
ENSDART00000097452,1
ENSDART00000156534,1
ENSDART00000154989,1
ENSDART00000129667,1
ENSDART00000124721,1
ENSDART00000153989,1
ENSDART00000131952,1
ENSDART00000130581,1
ENSDART00000003303,1
ENSDART00000092596,1
ENSDART00000154840,1
ENSDART00000109491,1
ENSDART00000111384,1
ENSDART00000114835,1
ENSDART00000133655,1
ENSDART00000112798,1
ENSDART00000142724,1
ENSDART00000127614,1
ENSDART00000099849,1
ENSDART00000127159,1
ENSDART00000143624,1
ENSDART00000080039,1
ENSDART00000129681,1
ENSDART00000144877,1
ENSDART00000123334,1
ENSDART00000079913,1
ENSDART00000136867,1
ENSDART00000123454,1
ENSDART00000123488,1
ENSDART00000127264,1
ENSDART00000154516,1
ENSDART00000132302,1
ENSDART00000114038,1
ENSDART00000123379,1
ENSDART00000113832,1
ENSDART00000139125,1
ENSDART00000080064,1
ENSDART00000133987,1
ENSDART00000112789,1
ENSDART00000021168,1
ENSDART00000149376,1
ENSDART00000027032,1
ENSDART00000144059,1
ENSDART00000014205,1
ENSDART00000123666,1
ENSDART00000127575,1
ENSDART00000045607,1
ENSDART00000047993,1
ENSDART00000145742,1
ENSDART00000121853,1
ENSDART00000145261,1
ENSDART00000105891,1
ENSDART00000142976,1
ENSDART00000098784,1
ENSDART00000045916,1
ENSDART00000135783,1
ENSDART00000146204,1
ENSDART00000127510,1
ENSDART00000079356,1
ENSDART00000110141,1
ENSDART00000104903,1
ENSDART00000141374,1
ENSDART00000073523,1
ENSDART00000121951,1
ENSDART00000156240,1
ENSDART00000140289,1
ENSDART00000113148,1
ENSDART00000135249,1
ENSDART00000110098,1
ENSDART00000135734,1
ENSDART00000152396,1
ENSDART00000110514,1
ENSDART00000146228,1
ENSDART00000143216,1
ENSDART00000150997,1
ENSDART00000004840,1
ENSDART00000136410,1
ENSDART00000139045,1
ENSDART00000110158,1
ENSDART00000074806,1
ENSDART00000143254,1
ENSDART00000151141,1
ENSDART00000121458,1
ENSDART00000122854,1
ENSDART00000144112,1
ENSDART00000132194,1
ENSDART00000110857,1
ENSDART00000149459,1
ENSDART00000137711,1
ENSDART00000126855,1
ENSDART00000132552,1
ENSDART00000111841,1
ENSDART00000077919,1
ENSDART00000123143,1
ENSDART00000147764,1
ENSDART00000129970,1
ENSDART00000102467,1
ENSDART00000156620,1
ENSDART00000142314,1
ENSDART00000149652,1
ENSDART00000154720,1
